ID,GUID,createdtweet,DateLocal,idtweet,usertweet,TweetMsg,SearchParameter,retweeted,retweet_count,lang
64,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:07,2020-09-03 23:32:07,1301739795790454784,SoCalProf,"@drawandstrike Like so many times during his 8 year reign, “I found out about it the same time you did, on TV.”

Ju… https://t.co/QgQ3MsjDfL",JoeBiden,0,0,en
65,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:07,2020-09-03 23:32:07,1301739795761127424,Kausik,"RT @KaivanShroff: JACOB BLAKE’S DAD: 

Talking to @JoeBiden and @KamalaHarris was like ""speaking to my uncle and one of my sisters.""",JoeBiden,0,1829,en
66,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:06,2020-09-03 23:32:06,1301739794226053120,Sled Dog Watchdog,"RT @JTHVerhovek: .@JoeBiden greets supporters in Wauwatosa, WI https://t.co/NOhV33fzAf",JoeBiden,0,2147,nl
67,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:06,2020-09-03 23:32:06,1301739793781387265,Michael Spartan,@RavenPaisley @fred_guttenberg @JoeBiden I have I've watched him over 30 years you want all his dirt.... who do you… https://t.co/JjSzc5ejsb,JoeBiden,0,0,en
68,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:06,2020-09-03 23:32:06,1301739792582029313,Elsie Barone,"RT @ChrisDJackson: You know who respects our veterans? @JoeBiden.

Pass it on. https://t.co/9sRRt18xbq",JoeBiden,0,3620,en
69,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:06,2020-09-03 23:32:06,1301739792443596800,sophie,"RT @ConservaMomUSA: .@JoeBiden handlers are NOT happy with #Kenosha’s Portia Bennett saying, “I’m gonna be honest,Mr Biden-I was TOLD to go…",JoeBiden,0,3824,en
70,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:06,2020-09-03 23:32:06,1301739791642484737,Clever Child,"@HerschelWalker @JoeBiden @POTUS @FoxNews @CNN Hey, HW, did asshole POTUS think about visiting the victim who got s… https://t.co/xmb9pq6Qej",JoeBiden,0,0,en
71,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:05,2020-09-03 23:32:05,1301739790988177409,J. Schutz,@JordanChariton @JoeBiden Not everything is about you? Can you imagine trying to attract a plurality of votes durin… https://t.co/muTDhjWIcB,JoeBiden,0,0,en
72,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:05,2020-09-03 23:32:05,1301739789578768386,.,RT @NewDayForNJ: Biden @JoeBiden cannot answer a single unscripted question—how can anyone think he’s qualified to hold the highest office…,JoeBiden,0,58,en
73,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:05,2020-09-03 23:32:05,1301739789410992128,Greatworld,@JoeBiden No thanks! https://t.co/Nk6xkBslhV,JoeBiden,0,0,en
